Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
OGLE,I,7475.75901,19.817,0.159,19.817,0.15899999999999997
OGLE,I,7475.79987,19.449,0.12,19.449,0.12
OGLE,I,7475.83985,19.585,0.133,19.585,0.13299999999999998
OGLE,I,7475.87879,19.573,0.093,19.573,0.09299999999999999
OGLE,I,7475.9171,19.113,0.076,19.113,0.076
OGLE,I,7476.76529,19.241,0.076,19.241,0.07599999999999998
OGLE,I,7476.84372,19.417,0.068,19.417,0.068
OGLE,I,7480.87543,19.318,0.094,19.318,0.09399999999999999
OGLE,I,7484.76988,19.269,0.074,19.269,0.07399999999999998
OGLE,I,7484.88358,19.648,0.081,19.648,0.08099999999999999
OGLE,I,7485.78843,19.472,0.068,19.472,0.06799999999999999
OGLE,I,7485.89513,19.424,0.05,19.424,0.04999999999999999
OGLE,I,7486.79474,19.479,0.088,19.479,0.08799999999999998
OGLE,I,7486.90659,19.312,0.075,19.312,0.07500000000000001
OGLE,I,7487.7921,19.356,0.063,19.356,0.06300000000000001
OGLE,I,7487.90476,19.488,0.067,19.488,0.067
OGLE,I,7488.79093,19.552,0.067,19.552,0.067
OGLE,I,7488.91441,19.45,0.061,19.45,0.060999999999999985
OGLE,I,7489.78276,19.337,0.07,19.337,0.06999999999999999
OGLE,I,7491.70293,19.399,0.098,19.399,0.098
OGLE,I,7491.80164,19.524,0.074,19.524,0.07399999999999998
OGLE,I,7491.92251,19.423,0.057,19.423,0.057
OGLE,I,7492.79006,19.383,0.055,19.383,0.05499999999999999
OGLE,I,7492.91119,19.374,0.052,19.374,0.05199999999999999
OGLE,I,7493.77755,19.507,0.07,19.507,0.06999999999999999
OGLE,I,7493.89834,19.475,0.053,19.475,0.05299999999999999
OGLE,I,7494.76266,19.364,0.049,19.364,0.04900000000000001
OGLE,I,7494.88437,19.522,0.056,19.522,0.055999999999999994
OGLE,I,7495.73034,19.521,0.08,19.521,0.08
OGLE,I,7495.84866,19.65,0.079,19.65,0.07899999999999999
OGLE,I,7497.87526,19.591,0.082,19.591,0.08199999999999999
OGLE,I,7498.73193,19.342,0.093,19.342,0.09299999999999997
OGLE,I,7498.87089,19.344,0.079,19.344,0.07899999999999999
OGLE,I,7499.72309,19.489,0.096,19.489,0.09599999999999999
OGLE,I,7499.82274,19.311,0.063,19.311,0.06299999999999999
OGLE,I,7499.92419,19.452,0.068,19.452,0.06799999999999999
OGLE,I,7500.76392,19.725,0.122,19.725,0.12199999999999996
OGLE,I,7500.86622,19.395,0.083,19.395,0.083
OGLE,I,7507.77295,19.392,0.061,19.392,0.06099999999999999
OGLE,I,7507.87859,19.422,0.064,19.422,0.06399999999999999
OGLE,I,7508.7125,19.504,0.054,19.504,0.053999999999999986
OGLE,I,7508.72654,19.306,0.046,19.306,0.04599999999999999
OGLE,I,7508.82159,19.42,0.046,19.42,0.046
OGLE,I,7508.92434,19.626,0.072,19.626,0.07199999999999998
OGLE,I,7509.81716,19.333,0.066,19.333,0.066
OGLE,I,7509.92118,19.348,0.08,19.348,0.08
OGLE,I,7511.76944,19.449,0.048,19.449,0.048
OGLE,I,7511.89145,19.549,0.071,19.549,0.07099999999999998
OGLE,I,7512.85925,19.52,0.061,19.52,0.060999999999999985
OGLE,I,7516.67126,19.469,0.086,19.469,0.08599999999999998
OGLE,I,7522.77497,19.622,0.095,19.622,0.095
OGLE,I,7522.89665,19.504,0.103,19.504,0.10299999999999998
OGLE,I,7523.89485,19.377,0.066,19.377,0.066
OGLE,I,7526.66535,19.315,0.072,19.315,0.07199999999999998
OGLE,I,7526.79057,19.445,0.089,19.445,0.08899999999999998
OGLE,I,7528.90074,19.34,0.094,19.34,0.09399999999999999
OGLE,I,7529.80112,19.624,0.155,19.624,0.15499999999999997
